testcase_id,status,notes
RMLTC-CC-0003-EL,inapplicable,CC not supported
RMLTC-CC-0003-EL-BN,inapplicable,CC not supported
RMLTC-CC-0003-EL-Named,inapplicable,CC not supported
RMLTC-CC-0003-NEB,inapplicable,CC not supported
RMLTC-CC-0003-NEL,inapplicable,CC not supported
RMLTC-CC-0003-NELb,inapplicable,CC not supported
RMLTC-CC-0004-SM1,inapplicable,CC not supported
RMLTC-CC-0004-SM2,inapplicable,CC not supported
RMLTC-CC-0004-SM3,inapplicable,CC not supported
RMLTC-CC-0004-SM4,inapplicable,CC not supported
RMLTC-CC-0004-SM5,inapplicable,CC not supported
RMLTC-CC-0005-App1,inapplicable,CC not supported
RMLTC-CC-0005-App2,inapplicable,CC not supported
RMLTC-CC-0005-Car1,inapplicable,CC not supported
RMLTC-CC-0005-Car2,inapplicable,CC not supported
RMLTC-CC-0006-IT0,inapplicable,CC not supported
RMLTC-CC-0006-IT1,inapplicable,CC not supported
RMLTC-CC-0006-IT2,inapplicable,CC not supported
RMLTC-CC-0006-IT3,inapplicable,CC not supported
RMLTC-CC-0006-IT4,inapplicable,CC not supported
RMLTC-CC-0006-IT5,inapplicable,CC not supported
RMLTC-CC-0007-NES,inapplicable,CC not supported
RMLTC-CC-0008-ROMa,inapplicable,CC not supported
RMLTC-CC-0008-ROMb,inapplicable,CC not supported
RMLTC-CC-0009-DUP-Bag,inapplicable,CC not supported
RMLTC-CC-0009-DUP-List,inapplicable,CC not supported
RMLTC-CC-0010-Lista,inapplicable,CC not supported
RMLTC-CC-0010-Listb,inapplicable,CC not supported
RMLFNMLTC0002-CSV,passed,
RMLFNMLTC0003-CSV,passed,
RMLFNMLTC0004-CSV,passed,
RMLFNMLTC0005-CSV,passed,
RMLFNMLTC0007-CSV,passed,
RMLFNMLTC0008-CSV,failed,Exception is thrown since the java implementation of grel:string_substring function throws an error
RMLFNMLTC0011-CSV,failed,Implemented toUppercaseURL idlab function returns uppercased HTTP instead of a lowercased http
RMLFNMLTC0021-CSV,passed,
RMLFNMLTC0031-CSV,failed,Implemented toUppercaseURL idlab function returns uppercased HTTP instead of a lowercased http
RMLFNMLTC0032-CSV,failed,rml:condition not supported yet
RMLFNMLTC0041-CSV,passed,
RMLFNMLTC0051-CSV,passed,
RMLFNMLTC0061-CSV,passed,
RMLFNMLTC0071-CSV,passed,
RMLFNMLTC0081-CSV,passed,
RMLFNMLTC0101-CSV,passed,
RMLFNMLTC0102-CSV,passed,
RMLFNMLTC0103-CSV,passed,
RMLFNMLTC0104-CSV,passed,
RMLLVTC0000a,passed,
RMLLVTC0000b,passed,
RMLLVTC0000c,passed,
RMLLVTC0001a,passed,
RMLLVTC0001b,passed,
RMLLVTC0001c,failed,Logical view templating not supported yet
RMLLVTC0001d,passed,
RMLLVTC0002a,passed,
RMLLVTC0002b,passed,
RMLLVTC0002c,passed,
RMLLVTC0003a,passed,
RMLLVTC0003b,passed,
RMLLVTC0003c,passed,
RMLLVTC0004a,passed,
RMLLVTC0004b,passed,
RMLLVTC0004c,passed,
RMLLVTC0004d,passed,
RMLLVTC0005a,passed,
RMLLVTC0005b,passed,
RMLLVTC0005c,passed,
RMLLVTC0006a,failed,Logical view joins not supported
RMLLVTC0006b,failed,Logical view joins not supported
RMLLVTC0006c,failed,Logical view joins not supported
RMLLVTC0006d,failed,Logical view joins not supported
RMLLVTC0006e,failed,Logical view joins not supported
RMLLVTC0006f,failed,Logical view joins not supported
RMLLVTC0007a,failed,Logical view joins not supported
RMLLVTC0007b,failed,Logical view joins not supported
RMLLVTC0007c,failed,Logical view joins not supported
RMLLVTC0008a,passed,
RMLLVTC0008b,passed,
RMLLVTC0008c,passed,
RMLLVTC0008d,passed,
RMLLVTC0009a,passed,
RMLLVTC0009b,failed,Logical view joins not supported
RMLLVTC0009c,passed,
RMLLVTC0010a,passed,
RMLLVTC0010b,passed,
RMLLVTC0010c,passed,
RMLLVTC0010d,passed,
RMLLVTC0010e,passed,
